0.499164,0.509965
0.497163,0.533803
0.493994,0.571515
0.489647,0.623099
0.484096,0.688553
0.477287,0.767873
0.46913,0.86105
0.459474,0.968071
0.448117,1.08892
0.435048,1.22358
0.420541,1.3721
0.406324,1.52142
0.392953,1.67083
0.379329,1.8202
0.372835,1.96992
0.372667,2.11992
0.372775,2.26992
0.372738,2.41991
0.372011,2.56991
0.372185,2.71991
0.371591,2.86991
0.372019,3.01991
0.371548,3.16991
0.372238,3.31991
0.373462,3.4699
0.374544,3.61912
0.374742,3.75442
0.373705,3.87579
0.373776,3.98324
0.376521,4.07674
0.377022,4.15634
0.372432,4.22184
0.371387,4.2735
0.382021,4.30965
0.394818,4.32981
0.401505,4.33725
0.420184,4.35032
0.444006,4.35587
0.483039,4.35344
0.536631,4.35034
0.604939,4.35159
0.687841,4.35198
0.770744,4.35214
0.839059,4.35179
0.892619,4.35607
0.930814,4.34898
0.951411,4.33567
0.95874,4.32886
0.972961,4.31022
0.982503,4.28793
0.987148,4.24971
0.986215,4.19682
0.991537,4.12983
0.998513,4.04863
1.00652,3.95316
1.01614,3.84347
1.02664,3.71951
1.03806,3.58127
1.05059,3.4318
1.06313,3.28232
1.07535,3.14415
1.08555,3.02016
1.09593,2.91055
1.10407,2.81509
1.1118,2.73396
1.11349,2.66682
1.11803,2.61426
1.13377,2.5792
1.14965,2.56088
1.15747,2.55463
1.17824,2.54526
1.19897,2.54365
1.2306,2.54578
1.27315,2.5457
1.32655,2.54631
1.39081,2.54673
1.46592,2.5475
1.54103,2.54778
1.60528,2.54849
1.65864,2.5479
1.69843,2.5621
1.72152,2.58357
1.73009,2.60249
1.73197,2.61231
1.73267,2.63518
1.73134,2.65862
1.73172,2.69556
1.73573,2.74585
1.73898,2.8097
1.74328,2.887
1.74781,2.97778
1.75394,3.08199
1.76139,3.19962
1.76978,3.3307
1.77894,3.47524
1.78841,3.62494
1.79846,3.7746
1.80768,3.92431
1.81632,4.07406
1.82501,4.22381
1.83443,4.37351
1.84282,4.52328
1.85153,4.67302
1.86037,4.82276
1.86957,4.97248
1.88041,5.12209
1.89254,5.27159
1.90436,5.41594
1.91438,5.54691
1.92306,5.66446
1.93048,5.76858
1.93691,5.85925
1.94287,5.93644
1.94769,6.00018
1.96037,6.04852
1.98507,6.07554
2.00736,6.08239
2.01736,6.08267
2.0405,6.08043
2.0606,6.0781
2.09105,6.07737
2.13175,6.07772
2.18268,6.07674
2.24385,6.07621
2.30501,6.07646
2.35595,6.07647
2.39664,6.07558
2.42711,6.07548
2.44557,6.0676
2.4532,6.06113
2.46745,6.04212
2.47788,6.01979
2.48801,5.98179
2.50146,5.92946
2.51861,5.86293
2.53917,5.78212
2.56327,5.68706
2.59072,5.57772
2.62327,5.45454
2.65862,5.31691
2.6958,5.17159
2.73297,5.02628
2.77002,4.88092
2.80759,4.73571
2.84374,4.59829
2.87544,4.47488
2.90423,4.36588
2.92864,4.27091
2.94962,4.19021
2.9672,4.12379
2.98117,4.0716
2.99113,4.03352
2.99744,4.00967
3,4
